papel,cotacao,p_l,p_vp,psr,dividend_yield,p_ativo,p_cap_giro,p_ebit,p_ativo_circulante_liq,ev_ebit,ev_ebitda,margem_ebit,margem_liquida,liquidez_corrente,roic,roe,liquidez_2meses,patrimonio_liquido,div_bruta_patrimonio,crescimento_receita_5a,score
EEEL3,421.01,6.76,1.34,1.762,0.0,0.497,12.71,3.68,-1.1,6.57,6.53,47.89,26.11,1.28,14.19,19.76,0.0,3021440000.0,1.15,16.16,82.12
AFLT3,7.75,15.96,1.9,6.002,6.96,1.414,8.01,12.51,-43.68,12.9,12.84,47.99,37.61,4.76,11.93,11.91,1560.88,257167000.0,0.11,9.42,82.07
NUTR3,3.57,8.41,1.11,0.242,0.0,0.426,1.34,5.9,4.51,7.24,6.55,4.1,2.88,1.81,9.16,13.17,20523.5,42690000.0,0.31,22.72,81.95
TBLE5,12.0,2.91,0.81,0.842,0.0,0.186,5.16,1.71,-0.32,5.24,4.37,49.34,29.64,1.27,12.39,27.84,0.0,12083000000.0,2.14,3.72,81.75
TBLE6,10.65,2.58,0.72,0.748,0.0,0.165,4.58,1.52,-0.28,5.05,4.21,49.34,29.64,1.27,12.39,27.84,0.0,12083000000.0,2.14,3.72,81.75
TIMP3,13.46,17.13,1.43,1.903,0.0,0.818,15.37,9.79,-3.78,9.72,3.77,19.44,11.11,1.34,9.67,8.33,0.0,22847800000.0,0.14,2.29,81.75
PTNT4,4.74,5.91,0.52,0.277,5.71,0.214,0.63,6.4,3.7,10.38,5.12,4.32,7.21,2.56,4.93,8.77,102240.0,439823000.0,0.88,5.58,81.73
GGPS3,14.83,15.08,2.74,0.635,2.18,0.694,2.29,8.34,-3.21,9.99,7.41,7.62,4.27,2.34,11.01,18.15,55825500.0,3670500000.0,1.38,28.44,81.66
WSON33,67.0,8.07,0.98,1.067,0.0,0.4,13.41,2.42,-0.89,5.08,5.08,44.14,13.58,1.26,18.36,12.17,0.0,2148530000.0,1.21,5.23,81.65
LIGT3,6.26,0.96,0.41,0.152,0.0,0.087,0.9,1.21,-0.18,4.51,3.07,12.63,15.82,1.44,9.21,42.92,5458160.0,5639690000.0,1.77,1.54,81.65
REDE4,2.9,4.61,1.47,0.339,0.0,0.203,2.78,1.78,-0.38,5.58,4.42,19.08,10.06,1.38,13.45,31.93,0.0,4157530000.0,3.88,9.06,81.56
IGTI3,2.58,12.58,1.22,4.225,2.18,0.599,2.5,7.58,-2.89,10.18,8.18,55.73,33.6,4.9,10.65,9.66,109930.0,4409240000.0,0.94,15.79,81.48
JBSS3,41.74,8.5,2.14,0.209,11.98,0.387,2.42,3.57,-1.0,6.84,4.65,5.86,2.75,1.62,14.7,25.15,544312000.0,43308500000.0,2.64,8.87,81.41
LIGH3,16.66,2.92,1.17,0.47,0.0,0.302,4.8,4.98,-0.63,8.15,5.13,9.45,16.12,1.31,7.52,40.05,0.0,5601790000.0,1.1,1.91,81.41
NTCO3,10.31,-1.76,0.95,0.581,0.0,0.408,2.88,5.65,-2.5,6.8,4.93,10.29,33.03,1.53,9.97,53.96,131454000.0,15095900000.0,0.44,12.47,81.23
TEMP3,4.15,11.64,4.92,0.98,0.0,2.014,9.98,10.6,19.39,9.55,7.74,9.25,8.42,1.41,34.49,42.27,0.0,135736000.0,0.23,13.11,81.2
MOTV3,13.47,18.73,1.92,1.255,2.3,0.434,5.89,4.84,-0.72,10.36,8.02,25.93,7.02,1.81,10.21,10.23,137828000.0,14199100000.0,2.65,16.2,81.19
RENT3,40.59,22.85,1.66,1.135,4.07,0.543,8.34,7.3,-1.19,13.06,6.38,15.54,4.96,1.43,8.93,7.28,399597000.0,26432600000.0,1.62,44.66,80.99
TCOC3,38.85,14.9,1.8,2.225,0.0,1.307,3.78,14.48,4.39,12.23,12.23,15.37,14.93,2.53,13.98,12.06,0.0,2812920000.0,0.04,16.71,80.96
ARCE3,54.0,14.01,2.6,2.461,0.0,1.726,11.33,8.89,102.03,9.07,9.07,27.7,19.46,1.97,22.04,18.59,0.0,13495400000.0,0.17,48.47,80.95
DESK3,9.33,11.97,0.79,0.936,0.39,0.302,6.48,3.19,-0.69,6.3,3.78,29.36,8.73,1.37,10.8,6.59,2580230.0,1369920000.0,1.02,36.71,80.88
CRTP5,62.1,15.98,1.71,1.748,0.0,1.127,3.98,14.09,5.88,12.48,12.48,12.4,10.94,2.14,12.36,10.68,0.0,1210570000.0,0.12,10.11,80.84
AGIN3,5.29,8.46,1.23,1.816,0.0,0.565,1.29,10.92,3.55,14.68,14.68,16.63,21.83,2.72,5.59,14.56,0.0,1028210000.0,0.55,44.17,80.71
PGMN3,3.32,14.26,0.76,0.157,6.96,0.238,1.62,3.34,-1.35,5.43,2.96,4.72,1.11,1.41,9.5,5.32,3583780.0,2722920000.0,0.52,18.07,80.63
ENMT3,73.49,16.01,4.0,1.944,5.55,1.124,11.39,9.36,-2.54,12.77,10.65,20.78,12.15,1.56,14.07,25.01,6095.1,4019070000.0,1.83,9.13,80.57
ESTC11,23.5,6.72,0.69,0.399,0.0,0.218,3.36,2.47,-0.5,7.56,3.89,16.2,5.94,1.36,10.03,10.29,0.0,3103980000.0,1.73,7.76,80.51
SOMA3,5.94,-2.81,0.8,0.867,0.0,0.486,2.01,7.45,19.87,9.24,6.13,11.63,30.81,2.36,7.81,28.52,0.0,5809620000.0,0.33,58.94,80.35
GUAR3,8.11,12.44,0.75,0.411,0.0,0.306,1.5,4.74,10.76,5.76,3.17,8.67,3.31,1.49,7.88,6.05,11592000.0,5382710000.0,0.37,12.6,80.33
AESL3,100.819,12.01,1.94,1.011,0.0,0.556,18.82,4.69,-1.12,8.14,8.14,21.58,8.42,1.16,13.01,16.13,0.0,5857680000.0,1.56,8.76,80.31
AESL4,100.819,12.01,1.94,1.011,0.0,0.556,18.82,4.69,-1.12,8.14,8.14,21.58,8.42,1.16,13.01,16.13,0.0,5857680000.0,1.56,8.76,80.31
MATD3,4.95,-4.66,1.16,0.784,1.51,0.384,1.67,5.12,-1.22,7.44,5.59,15.3,16.32,2.95,9.19,24.8,1565660.0,1454640000.0,0.98,33.38,80.04
RDOR3,36.9,20.69,3.38,1.645,1.88,0.81,2.46,10.73,-3.52,10.45,8.61,15.34,8.11,2.87,12.54,16.33,188280000.0,25003000000.0,1.51,37.93,79.8
BEMA3,10.8,15.32,1.22,1.293,0.0,0.808,3.18,14.34,11.45,14.43,8.11,9.01,8.44,2.66,6.96,7.95,0.0,457342000.0,0.19,10.58,79.71
CSAN3,8.02,-1.36,1.9,0.342,5.65,0.117,1.0,1.62,-0.23,7.29,4.12,21.06,23.67,2.13,8.48,139.64,137087000.0,7891660000.0,8.5,28.72,79.35
LVTC3,3.04,6.02,0.29,0.229,6.25,0.128,0.61,0.99,-1.74,0.25,0.12,23.2,3.81,1.76,15.58,4.84,111220.0,662855000.0,0.0,9.23,79.34
